year,authors,is_my_paper,title,journal,volume,issue,page,doi,abstract,type,has_doi
2025,"Liping Peng, Kylie E. C. Ainslie, Xiaotong Huang, Benjamin J. Cowling, Peng Wu, and Tim K. Tsang",YES,Evaluating the association between COVID-19 transmission and mobility in omicron outbreaks in China,Communications Medicine,5,1,,10.1038/s43856-025-00906-7,,journal-article,YES
2024,"Tim K Tsang, Sheena G Sullivan, Xiaotong Huang, Can Wang, Yifan Wang, Joshua Nealon, Bingyi Yang, Kylie E C Ainslie, and Benjamin J Cowling",YES,Prior infections and effectiveness of SARS-CoV-2 vaccine in test-negative studies: a systematic review and meta-analysis,American Journal of Epidemiology,193,12,1868-1881,10.1093/aje/kwae142,"<jats:title>Abstract</jats:title> Prior infection with SARS-CoV-2 can provide protection against infection and severe COVID-19. We aimed to determine the impact of preexisting immunity on vaccine effectiveness (VE) estimates. We systematically reviewed and meta-analyzed 66 test-negative design studies that examined VE against infection or severe disease (hospitalization, intensive care unit admission, or death) for primary vaccination series. Pooled VE among studies that included people with prior COVID-19 infection was lower against infection (77%; 95% CI, 72-81) and severe disease (86%; 95% CI, 83-89) compared with studies that excluded people with prior COVID-19 infection (pooled VE against infection: 87% [95% CI, 85-89]; pooled VE against severe disease: 93% [95% CI, 91-95]). There was a negative correlation between VE estimates against infection and severe disease, and the cumulative incidence of cases before the start of the study or incidence rates during the study period. We found clear empirical evidence that higher levels of preexisting immunity were associated with lower VE estimates. Prior infections should be treated as both a confounder and effect modificatory when the policies target the whole population or are stratified by infection history, respectively.",journal-article,YES
2024,"Katharine Sherratt, Ajitesh Srivastava, Kylie Ainslie, et al.",YES,Characterising information gains and losses when collecting multiple epidemic model outputs,Epidemics,47,,100765,10.1016/j.epidem.2024.100765,,journal-article,YES
2024,"Dongxuan Chen, Benjamin J. Cowling, Kylie E.C. Ainslie, Yun Lin, Jessica Y. Wong, Eric H.Y. Lau, Peng Wu, and Joshua Nealon",YES,Association of COVID-19 vaccination with duration of hospitalization in older adults in Hong Kong,Vaccine,42,9,2385-2393,10.1016/j.vaccine.2024.02.074,,journal-article,YES
2024,"Cameron Zachreson, Julian Savulescu, Freya M. Shearer, Michael J. Plank, Simon Coghlan, Joel C. Miller, Kylie E. C. Ainslie, and Nicholas Geard",YES,Ethical frameworks should be applied to computational modelling of infectious disease interventions,PLOS Computational Biology,20,3,e1011933,10.1371/journal.pcbi.1011933,"This perspective is part of an international effort to improve epidemiological models with the goal of reducing the unintended consequences of infectious disease interventions. The scenarios in which models are applied often involve difficult trade-offs that are well recognised in public health ethics. Unless these trade-offs are explicitly accounted for, models risk overlooking contested ethical choices and values, leading to an increased risk of unintended consequences. We argue that such risks could be reduced if modellers were more aware of ethical frameworks and had the capacity to explicitly account for the relevant values in their models. We propose that public health ethics can provide a conceptual foundation for developing this capacity. After reviewing relevant concepts in public health and clinical ethics, we discuss examples from the COVID-19 pandemic to illustrate the current separation between public health ethics and infectious disease modelling. We conclude by describing practical steps to build the capacity for ethically aware modelling. Developing this capacity constitutes a critical step towards ethical practice in computational modelling of public health interventions, which will require collaboration with experts on public health ethics, decision support, behavioural interventions, and social determinants of health, as well as direct consultation with communities and policy makers.",journal-article,YES
2023,"Mark Jit, Kylie Ainslie, Christian Althaus, et al.",YES,"Reflections On Epidemiological Modeling To Inform Policy During The COVID-19 Pandemic In Western Europe, 2020–23",Health Affairs,42,12,1630-1636,10.1377/hlthaff.2023.00688,,journal-article,YES
2023,"Sheena G. Sullivan, Arseniy Khvorov, Xiaotong Huang, Can Wang, Kylie E. C. Ainslie, Joshua Nealon, Bingyi Yang, Benjamin J. Cowling, and Tim K. Tsang",YES,The need for a clinical case definition in test-negative design studies estimating vaccine effectiveness,npj Vaccines,8,1,,10.1038/s41541-023-00716-9,"<jats:title>Abstract</jats:title>Test negative studies have been used extensively for the estimation of COVID-19 vaccine effectiveness (VE). Such studies are able to estimate VE against medically-attended illness under certain assumptions. Selection bias may be present if the probability of participation is associated with vaccination or COVID-19, but this can be mitigated through use of a clinical case definition to screen patients for eligibility, which increases the likelihood that cases and non-cases come from the same source population. We examined the extent to which this type of bias could harm COVID-19 VE through systematic review and simulation. A systematic review of test-negative studies was re-analysed to identify studies ignoring the need for clinical criteria. Studies using a clinical case definition had a lower pooled VE estimate compared with studies that did not. Simulations varied the probability of selection by case and vaccination status. Positive bias away from the null (i.e., inflated VE consistent with the systematic review) was observed when there was a higher proportion of healthy, vaccinated non-cases, which may occur if a dataset contains many results from asymptomatic screening in settings where vaccination coverage is high. We provide an html tool for researchers to explore site-specific sources of selection bias in their own studies. We recommend all groups consider the potential for selection bias in their vaccine effectiveness studies, particularly when using administrative data.",journal-article,YES
2023,"Fuminari Miura, Jantien A Backer, Gini van Rijckevorsel, et al.",YES,Time Scales of Human Mpox Transmission in The Netherlands,The Journal of Infectious Diseases,229,3,800-804,10.1093/infdis/jiad091,"<jats:title>Abstract</jats:title> Mpox has spread rapidly to many countries in nonendemic regions. After reviewing detailed exposure histories of 109 pairs of mpox cases in the Netherlands, we identified 34 pairs where transmission was likely and the infectee reported a single potential infector with a mean serial interval of 10.1 days (95% credible interval, 6.6–14.7 days). Further investigation into pairs from 1 regional public health service revealed that presymptomatic transmission may have occurred in 5 of 18 pairs. These findings emphasize that precaution remains key, regardless of the presence of recognizable symptoms of mpox.",journal-article,YES
2022,"Oliver Eales, Haowei Wang, David Haw, et al.",YES,"Trends in SARS-CoV-2 infection prevalence during England’s roadmap out of lockdown, January to July 2021",PLOS Computational Biology,18,11,e1010724,10.1371/journal.pcbi.1010724,"<jats:sec id=""sec001""> <jats:title>Background</jats:title> Following rapidly rising COVID-19 case numbers, England entered a national lockdown on 6 January 2021, with staged relaxations of restrictions from 8 March 2021 onwards. </jats:sec> <jats:sec id=""sec002""> <jats:title>Aim</jats:title> We characterise how the lockdown and subsequent easing of restrictions affected trends in SARS-CoV-2 infection prevalence. </jats:sec> <jats:sec id=""sec003""> <jats:title>Methods</jats:title> On average, risk of infection is proportional to infection prevalence. The REal-time Assessment of Community Transmission-1 (REACT-1) study is a repeat cross-sectional study of over 98,000 people every round (rounds approximately monthly) that estimates infection prevalence in England. We used Bayesian P-splines to estimate prevalence and the time-varying reproduction number (R<jats:sub>t</jats:sub>) nationally, regionally and by age group from round 8 (beginning 6 January 2021) to round 13 (ending 12 July 2021) of REACT-1. As a comparator, a separate segmented-exponential model was used to quantify the impact on R<jats:sub>t</jats:sub> of each relaxation of restrictions. </jats:sec> <jats:sec id=""sec004""> <jats:title>Results</jats:title> Following an initial plateau of 1.54% until mid-January, infection prevalence decreased until 13 May when it reached a minimum of 0.09%, before increasing until the end of the study to 0.76%. Following the first easing of restrictions, which included schools reopening, the reproduction number R<jats:sub>t</jats:sub> increased by 82% (55%, 108%), but then decreased by 61% (82%, 53%) at the second easing of restrictions, which was timed to match the Easter school holidays. Following further relaxations of restrictions, the observed R<jats:sub>t</jats:sub> increased steadily, though the increase due to these restrictions being relaxed was offset by the effects of vaccination and also affected by the rapid rise of Delta. There was a high degree of synchrony in the temporal patterns of prevalence between regions and age groups. </jats:sec> <jats:sec id=""sec005""> <jats:title>Conclusion</jats:title> High-resolution prevalence data fitted to P-splines allowed us to show that the lockdown was effective at reducing risk of infection with school holidays/closures playing a significant part. </jats:sec>",journal-article,YES
2022,"Kylie E C Ainslie, Jantien A Backer, Pieter T de Boer, Albert Jan van Hoek, Don Klinkenberg, Hester Korthals Altes, Ka Yin Leung, Hester de Melker, Fuminari Miura, and Jacco Wallinga",YES,"A scenario modelling analysis to anticipate the impact of COVID-19 vaccination in adolescents and children on disease outcomes in the Netherlands, summer 2021",Eurosurveillance,27,44,,10.2807/1560-7917.es.2022.27.44.2101090,"<jats:sec> <jats:title>Background</jats:title> Since the roll-out of COVID-19 vaccines in late 2020 and throughout 2021, European governments have relied on mathematical modelling to inform policy decisions about COVID-19 vaccination. </jats:sec> <jats:sec> <jats:title>Aim</jats:title> We present a scenario-based modelling analysis in the Netherlands during summer 2021, to inform whether to extend vaccination to adolescents (12–17-year-olds) and children (5–11-year-olds). </jats:sec> <jats:sec> <jats:title>Methods</jats:title> We developed a deterministic, age-structured susceptible-exposed-infectious-recovered (SEIR) model and compared modelled incidences of infections, hospital and intensive care admissions, and deaths per 100,000 people across vaccination scenarios, before the emergence of the Omicron variant. </jats:sec> <jats:sec> <jats:title>Results</jats:title> Our model projections showed that, on average, upon the release of all non-pharmaceutical control measures on 1 November 2021, a large COVID-19 wave may occur in winter 2021/22, followed by a smaller, second wave in spring 2022, regardless of the vaccination scenario. The model projected reductions in infections/severe disease outcomes when vaccination was extended to adolescents and further reductions when vaccination was extended to all people over 5 years-old. When examining projected disease outcomes by age group, individuals benefitting most from extending vaccination were adolescents and children themselves. We also observed reductions in disease outcomes in older age groups, particularly of parent age (30–49 years), when children and adolescents were vaccinated, suggesting some prevention of onward transmission from younger to older age groups. </jats:sec> <jats:sec> <jats:title>Conclusions</jats:title> While our scenarios could not anticipate the emergence/consequences of SARS-CoV-2 Omicron variant, we illustrate how our approach can assist decision making. This could be useful when considering to provide booster doses or intervening against future infection waves. </jats:sec>",journal-article,YES
2022,"Oliver Eales, Kylie E.C. Ainslie, Caroline E. Walters, et al.",YES,Appropriately smoothing prevalence data to inform estimates of growth rate and reproduction number,Epidemics,40,,100604,10.1016/j.epidem.2022.100604,,journal-article,YES
2022,Kylie E.C. Ainslie and Steven Riley,YES,Is annual vaccination best? A modelling study of influenza vaccination strategies in children,Vaccine,40,21,2940-2948,10.1016/j.vaccine.2022.03.065,,journal-article,YES
2022,"Marc Chadeau-Hyam, Haowei Wang, Oliver Eales, et al.",YES,SARS-CoV-2 infection and vaccine effectiveness in England (REACT-1): a series of cross-sectional random community surveys,The Lancet Respiratory Medicine,10,4,355-366,10.1016/s2213-2600(21)00542-7,,journal-article,YES
2022,"Oliver Eales, Caroline E. Walters, Haowei Wang, et al.",YES,Characterising the persistence of RT-PCR positivity and incidence in a community survey of SARS-CoV-2,Wellcome Open Research,7,,102,10.12688/wellcomeopenres.17723.1,"<ns4:p><ns4:bold>Background:</ns4:bold>The REal-time Assessment of Community Transmission-1 (REACT-1) study has provided unbiased estimates of swab-positivity in England approximately monthly since May 2020 using RT-PCR testing of self-administered throat and nose swabs. However, estimating infection incidence requires an understanding of the persistence of RT-PCR swab-positivity in the community.</ns4:p><ns4:p><ns4:bold>Methods:</ns4:bold>During round 8 of REACT-1 from 6 January to 22 January 2021, we collected up to two additional swabs from 896 initially RT-PCR positive individuals approximately 6 and 9 days after their initial swab.</ns4:p><ns4:p><ns4:bold>Results:</ns4:bold>Test sensitivity and duration of positivity were estimated using an exponential decay model, for all participants and for subsets by initial N-gene cycle threshold (Ct) value, symptom status, lineage and age. A P-spline model was used to estimate infection incidence for the entire duration of the REACT-1 study. REACT-1 test sensitivity was estimated at 0.79 (0.77, 0.81) with median duration of positivity at 9.7 (8.9, 10.6) days. We found greater duration of positivity in those exhibiting symptoms, with low N-gene Ct values, or infected with the Alpha variant. Test sensitivity was found to be higher for those who were pre-symptomatic or with low N-gene Ct values. Compared to swab-positivity, our estimates of infection incidence included sharper features with evident transient increases around the time of changes in social distancing measures.</ns4:p><ns4:p><ns4:bold>Conclusions:</ns4:bold>These results validate previous efforts to estimate incidence of SARS-CoV-2 from swab-positivity data and provide a reliable means to obtain community infection estimates to inform policy response.</ns4:p>",journal-article,YES
2021,"Paul Elliott, David Haw, Haowei Wang, et al.",YES,"Exponential growth, high prevalence of SARS-CoV-2, and vaccine effectiveness associated with the Delta variant",Science,374,6574,,10.1126/science.abl9551,"<jats:title>Vaccination and disease</jats:title> The United Kingdom has high rates of vaccination for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), exceeding 80% of adults. As immunity wanes and social distancing is relaxed, how are rates of illness and severe disease affected by more infectious variants? Elliott et al . used reverse transcription PCR data from the REACT-1 study, which showed exponential transmission as the Alpha variant (B.1.1.7) was replaced by the Delta variant (B.1.617.2). After adjusting for age and other variables, vaccine effectiveness for the new variant averaged 55% in June and July of 2020. Despite the slower growth of the pandemic in the summer, it looks as if increased indoor mixing in the autumn will sustain transmission of the Delta variant despite high levels of adult vaccination. —CA",journal-article,YES
2021,"Fuminari Miura, Ka Yin Leung, Don Klinkenberg, Kylie E. C. Ainslie, and Jacco Wallinga",YES,Optimal vaccine allocation for COVID-19 in the Netherlands: A data-driven prioritization,PLOS Computational Biology,17,12,e1009697,10.1371/journal.pcbi.1009697,"For the control of COVID-19, vaccination programmes provide a long-term solution. The amount of available vaccines is often limited, and thus it is crucial to determine the allocation strategy. While mathematical modelling approaches have been used to find an optimal distribution of vaccines, there is an excessively large number of possible allocation schemes to be simulated. Here, we propose an algorithm to find a near-optimal allocation scheme given an intervention objective such as minimization of new infections, hospitalizations, or deaths, where multiple vaccines are available. The proposed principle for allocating vaccines is to target subgroups with the largest reduction in the outcome of interest. We use an approximation method to reconstruct the age-specific transmission intensity (the next generation matrix), and express the expected impact of vaccinating each subgroup in terms of the observed incidence of infection and force of infection. The proposed approach is firstly evaluated with a simulated epidemic and then applied to the epidemiological data on COVID-19 in the Netherlands. Our results reveal how the optimal allocation depends on the objective of infection control. In the case of COVID-19, if we wish to minimize deaths, the optimal allocation strategy is not efficient for minimizing other outcomes, such as infections. In simulated epidemics, an allocation strategy optimized for an outcome outperforms other strategies such as the allocation from young to old, from old to young, and at random. Our simulations clarify that the current policy in the Netherlands (i.e., allocation from old to young) was concordant with the allocation scheme that minimizes deaths. The proposed method provides an optimal allocation scheme, given routine surveillance data that reflect ongoing transmissions. This approach to allocation is useful for providing plausible simulation scenarios for complex models, which give a more robust basis to determine intervention strategies.",journal-article,YES
2021,"Michael Haber, Jacqueline E. Tate, Benjamin A. Lopman, Wenrui Qi, Kylie E. C. Ainslie, and Umesh D. Parashar",YES,Comparing statistical methods for detecting and estimating waning efficacy of rotavirus vaccines in developing countries,Human Vaccines &amp; Immunotherapeutics,17,11,4632-4635,10.1080/21645515.2021.1968738,,journal-article,YES
